"employee_id","first_name","last_name","department_id","salary","sale_id","product_id","sale_customer_id","sale_date","quantity","unit_price","discount","total_sale","salesperson_id","region","product_name","category","product_price","stock_quantity","supplier_id","customer_id","customer_first_name","customer_last_name","email","phone","customer_city","customer_state","customer_country","order_id","order_date","shipping_date","status","total_amount","payment_method","billing_address","shipping_address","shipper_id"
149,"Timothy","Davis",10,"74303.00",4,46,200,"2023-05-26",19,"124.02","0.19","147.80",149,"New Mexico","attorney","Furniture","1234.05",180,40,200,"Sherry","Wise","annahernandez@gmail.com","956.738.3662","East Brandon","Wisconsin","Tunisia",29,"2024-06-18","2023-07-22","Cancelled","9619.85","Bank Transfer","75962 Kaufman Plain, Torreschester, NV 69376","486 David Divide Apt. 466, Zacharyton, WV 35240",20
96,"Stacey","Nguyen",3,"117403.00",6,18,38,"2024-06-03",15,"313.91","0.16","5976.32",96,"North Dakota","they","Furniture","1346.50",611,11,38,"Shawn","Adams","lindawarren@gibbs-nelson.biz","+1-479-688-4674x791","East Lisaport","Iowa","Austria",186,"2023-02-19","2024-06-25","Cancelled","1305.07","Bank Transfer","96856 Sanchez Forest Apt. 857, Samuelchester, TX 45547","4242 Johnson Road Apt. 987, Lake Peter, CA 17336",15
96,"Stacey","Nguyen",3,"117403.00",6,18,38,"2024-06-03",15,"313.91","0.16","5976.32",96,"North Dakota","they","Furniture","1346.50",611,11,38,"Shawn","Adams","lindawarren@gibbs-nelson.biz","+1-479-688-4674x791","East Lisaport","Iowa","Austria",133,"2023-12-12","2023-11-24","Shipped","1574.23","Credit Card","Unit 4620 Box 5713, DPO AA 89348","649 Susan Harbors Suite 527, North Kathryn, IA 27611",28
96,"Stacey","Nguyen",3,"117403.00",6,18,38,"2024-06-03",15,"313.91","0.16","5976.32",96,"North Dakota","they","Furniture","1346.50",611,11,38,"Shawn","Adams","lindawarren@gibbs-nelson.biz","+1-479-688-4674x791","East Lisaport","Iowa","Austria",34,"2023-09-17","2023-11-19","Shipped","6712.68","PayPal","36453 Kathryn Corner, Tonyafurt, HI 87511","515 Jim Parkway, West Davidton, SD 08010",12
73,"Devon","Wood",4,"105850.00",8,47,13,"2024-06-05",2,"178.89","0.12","5166.39",73,"South Dakota","risk","Food","350.86",678,45,13,"Jeffery","Adams","marysmith@hotmail.com","+1-570-046-4161x3023","Anthonyton","Wyoming","El Salvador",147,"2024-03-05","2023-10-07","Shipped","2752.91","Bank Transfer","PSC 3651, Box 3116, APO AP 48400","0310 Graham Lights, West Bradleyton, LA 01687",22
73,"Devon","Wood",4,"105850.00",8,47,13,"2024-06-05",2,"178.89","0.12","5166.39",73,"South Dakota","risk","Food","350.86",678,45,13,"Jeffery","Adams","marysmith@hotmail.com","+1-570-046-4161x3023","Anthonyton","Wyoming","El Salvador",89,"2023-04-26","2024-01-11","Cancelled","5542.45","Cash","7148 Steven Crest Suite 093, Atkinschester, OK 42646","5113 Timothy Cape Apt. 490, Port Andreachester, MT 05187",22
73,"Devon","Wood",4,"105850.00",8,47,13,"2024-06-05",2,"178.89","0.12","5166.39",73,"South Dakota","risk","Food","350.86",678,45,13,"Jeffery","Adams","marysmith@hotmail.com","+1-570-046-4161x3023","Anthonyton","Wyoming","El Salvador",50,"2024-05-22","2023-01-10","Delivered","8380.69","PayPal","7750 Aguilar Pike Apt. 787, Suttonland, OH 40747","6909 Edward Plains Suite 266, Aaronbury, DC 95054",25
133,"Erica","Ware",3,"68850.00",11,90,161,"2023-12-14",9,"40.44","0.22","7134.95",133,"Colorado","natural","Books","1073.82",982,1,161,"Amanda","Long","qwhite@hotmail.com","(374)039-5650","Natalietown","Colorado","Macedonia",168,"2023-06-26","2023-10-21","Shipped","4871.71","PayPal","97892 Barbara Estate, Caitlinbury, CT 19414","6354 Hicks Spring Suite 722, Lake Sandraport, GA 13000",30
133,"Erica","Ware",3,"68850.00",11,90,161,"2023-12-14",9,"40.44","0.22","7134.95",133,"Colorado","natural","Books","1073.82",982,1,161,"Amanda","Long","qwhite@hotmail.com","(374)039-5650","Natalietown","Colorado","Macedonia",138,"2024-02-14","2023-11-21","Delivered","4032.04","Credit Card","8296 Travis Field, Shawnamouth, GA 32937","1774 Anthony Centers Suite 927, North Markburgh, OR 31083",20
143,"Deborah","Klein",4,"49534.00",12,97,50,"2023-08-02",18,"63.07","0.13","7676.27",143,"New Jersey","player","Electronics","1432.37",141,20,50,"Vanessa","Vazquez","jpineda@taylor-brown.com","2473257969","Lake Troyview","West Virginia","Senegal",130,"2023-07-18","2024-04-08","Shipped","9620.99","Cash","13209 Little Mews Suite 347, Michaelhaven, NC 41998","6696 Stephanie Trace Apt. 072, Adamberg, NY 44656",5
172,"Patricia","Black",10,"108884.00",13,81,85,"2023-05-28",8,"41.14","0.29","8241.99",172,"Colorado","personal","Electronics","929.66",391,19,85,"James","Leach","lshelton@yahoo.com","001-746-540-2929x9422","Blevinsmouth","New Hampshire","Saint Helena",111,"2023-07-01","2023-04-05","Pending","4680.31","PayPal","8167 Matthew Way, Brianstad, NE 85729","4074 Maria Ramp, North Amber, MA 70935",21
128,"John","Hines",9,"95736.00",14,20,87,"2023-08-06",20,"287.21","0.05","7294.95",128,"Washington","production","Furniture","498.88",589,40,87,"Regina","Perkins","michaellong@silva.net","8613977028","Luisside","Pennsylvania","Cote d'Ivoire",75,"2023-06-27","2022-12-12","Delivered","7315.82","Cash","02489 Andrew Mountains, North Sabrina, VA 91283","5479 Robert Plaza, Annchester, AZ 34662",14
128,"John","Hines",9,"95736.00",14,20,87,"2023-08-06",20,"287.21","0.05","7294.95",128,"Washington","production","Furniture","498.88",589,40,87,"Regina","Perkins","michaellong@silva.net","8613977028","Luisside","Pennsylvania","Cote d'Ivoire",48,"2023-04-12","2024-03-08","Cancelled","6479.29","Bank Transfer","601 Sims Crossing, West Williamtown, DE 95840","33120 Justin Pines, South Rachelton, HI 48885",21
83,"John","Richardson",3,"77334.00",16,65,92,"2024-04-26",17,"122.70","0.08","9395.38",83,"Kansas","kind","Food","896.63",87,34,92,"Bonnie","Reyes","natashaschmidt@gmail.com","(608)382-9437x652","North Theresatown","Arizona","French Polynesia",47,"2023-06-27","2024-08-07","Cancelled","805.59","Bank Transfer","92592 Hopkins Rapids, North Georgechester, WI 46026","0180 Victoria Unions, New Wandashire, DC 64529",28
92,"Cindy","Johnson",8,"89919.00",19,78,3,"2023-09-04",3,"237.68","0.27","2728.14",92,"Texas","image","Clothing","650.24",895,3,3,"Kevin","Perry","zacharygross@gmail.com","(056)935-1425x12471","Calhounchester","New Mexico","Italy",134,"2023-07-04","2023-08-08","Pending","6241.89","PayPal","92373 Lisa Valley Suite 776, Patrickton, MD 49223","PSC 8177, Box 5015, APO AA 88112",8
92,"Cindy","Johnson",8,"89919.00",19,78,3,"2023-09-04",3,"237.68","0.27","2728.14",92,"Texas","image","Clothing","650.24",895,3,3,"Kevin","Perry","zacharygross@gmail.com","(056)935-1425x12471","Calhounchester","New Mexico","Italy",59,"2024-10-01","2024-03-26","Shipped","2093.01","PayPal","24383 Turner Mount Suite 400, Murphyville, OK 50692","87484 Kyle Locks, Jacksonmouth, KY 77481",28
